Nom,Type d'établissement,Patronyme,Réussite au brevet (en %),Type de secteur,Adresse,Code postal,Commune,latitude,longitude,Etat de l'établissement,position,Précision de secteur,Date d'ouverture,Internat,Admission
Collège privé Rambaud,COLLEGE GENERALE PRIVE,RAMBAUD,98,Privé,25  AVENUE DE RAMBAUD,33650,La Brède,44.66783180502459,-0.5042871937884351,OUVERT,"44.66783180502459, -0.5042871937884351",CONTRAT D'ASSOCIATION TOUTES CLASSES,1980-09-01,INTERNAT,Dès la 6ème
Collège privé Saint Clément,COLLEGE GENERALE PRIVE,ST CLEMENT,100,Privé,346 route du château d'eau,33430,Cudos,44.39081424407428,-0.21371966271956455,OUVERT,"44.39081424407428, -0.21371966271956455",CONTRAT D'ASSOCIATION TOUTES CLASSES,1975-05-10,INTERNAT,Dès la 6ème
Collège privé Saint Elme,COLLEGE GENERALE PRIVE,ST ELME,100,Privé,50 BOULEVARD DEGANNE,33120,Arcachon,44.65534929922308,-1.1525039056508661,OUVERT,"44.65534929922308, -1.1525039056508661",CONTRAT D'ASSOCIATION TOUTES CLASSES,1980-09-01,PAS INTERNAT,Dès la 6ème
Collège privé Saint Genès La Salle,COLLEGE GENERALE PRIVE,ST GENES LA SALLE,99,Privé,160 rue ST GENES,33081,Bordeaux,44.824860934358085,-0.5814138851570154,OUVERT,"44.824860934358085, -0.5814138851570154",CONTRAT D'ASSOCIATION TOUTES CLASSES,1980-09-01,PAS INTERNAT,Dès la 6ème
Collège privé Saint Jean,COLLEGE GENERALE PRIVE,ST JEAN,91,Privé,7 rue MAQUIS VIGNES OUDIDES,33250,Pauillac,45.195092257340264,-0.7494877930258221,OUVERT,"45.195092257340264, -0.7494877930258221",CONTRAT D'ASSOCIATION TOUTES CLASSES,1968-11-18,PAS INTERNAT,Dès la 6ème
Collège privé Saint Joseph,COLLEGE GENERALE PRIVE,ST JOSEPH,100,Privé,32  RUE DES CHAIS,33500,Libourne,44.91513660203998,-0.24682571828311892,OUVERT,"44.91513660203998, -0.24682571828311892",CONTRAT D'ASSOCIATION TOUTES CLASSES,1967-03-15,INTERNAT,Dès la 6ème
Collège privé Saint Joseph de Tivoli,COLLEGE GENERALE PRIVE,ST JOSEPH DE TIVOLI,98,Privé,40 avenue EYSINES,33073,Bordeaux,44.85383977103393,-0.5970193595333586,OUVERT,"44.85383977103393, -0.5970193595333586",CONTRAT D'ASSOCIATION TOUTES CLASSES,1980-09-01,INTERNAT,Dès la 6ème
Collège privé Saint Louis Sainte Thérèse,COLLEGE GENERALE PRIVE,ST LOUIS STE THERESE,95,Privé,49 cours BALGUERIE STUTTENBERG,33300,Bordeaux,44.85715197815199,-0.5688607714122762,OUVERT,"44.85715197815199, -0.5688607714122762",CONTRAT D'ASSOCIATION TOUTES CLASSES,1967-03-17,PAS INTERNAT,Dès la 6ème
Collège privé Saint Seurin,COLLEGE GENERALE PRIVE,ST SEURIN,100,Privé,75 rue LACHASSAIGNE,33000,Bordeaux,44.84356991674534,-0.5891708363573986,OUVERT,"44.84356991674534, -0.5891708363573986",CONTRAT D'ASSOCIATION TOUTES CLASSES,1967-03-16,PAS INTERNAT,Dès la 6ème
Collège privé Sainte Anne,COLLEGE GENERALE PRIVE,STE ANNE,100,Privé,117 RUE DU PRESIDENT KENNEDY,33110,Le Bouscat,44.866401269756096,-0.6068886080265168,OUVERT,"44.866401269756096, -0.6068886080265168",CONTRAT D'ASSOCIATION TOUTES CLASSES,1967-04-05,PAS INTERNAT,Dès la 6ème
Collège privé Sainte Claire,COLLEGE GENERALE PRIVE,STE CLAIRE,95,Privé,2  RUE MOLIERE,33270,Floirac,44.8458261929978,-0.5132094572181384,OUVERT,"44.8458261929978, -0.5132094572181384",CONTRAT D'ASSOCIATION TOUTES CLASSES,1980-09-01,PAS INTERNAT,Dès la 6ème
Collège privé Sainte Marie Bastide,COLLEGE GENERALE PRIVE,STE MARIE BASTIDE,99,Privé,45  RUE DE DIJON,33072,Bordeaux,44.84273265960473,-0.5525831372873018,OUVERT,"44.84273265960473, -0.5525831372873018",CONTRAT D'ASSOCIATION TOUTES CLASSES,1980-10-01,PAS INTERNAT,Dès la 6ème
Collège privé Sainte Marie Grand Lebrun,COLLEGE GENERALE PRIVE,STE MARIE GRAND LEBRUN,100,Privé,164 avenue Charles de Gaulle,33073,Bordeaux,44.850257009928384,-0.6055762746683684,OUVERT,"44.850257009928384, -0.6055762746683684",CONTRAT D'ASSOCIATION TOUTES CLASSES,1980-09-01,PAS INTERNAT,Dès la 6ème
Collège privé Sainte Marie Jeanne d'Arc,COLLEGE GENERALE PRIVE,STE MARIE JEANNE D ARC,100,Privé,8 cours SADI CARNOT,33210,Langon,44.55643643699894,-0.2497429207899582,OUVERT,"44.55643643699894, -0.2497429207899582",CONTRAT D'ASSOCIATION TOUTES CLASSES,1967-04-05,PAS INTERNAT,Dès la 6ème
Collège Privé St Joseph,COLLEGE GENERALE PRIVE,SAINT JOSEPH,100,Privé,12 avenue DU 8 MAI,33291,Blanquefort,44.90860249601245,-0.6439504430184968,OUVERT,"44.90860249601245, -0.6439504430184968",CONTRAT D'ASSOCIATION TOUTES CLASSES,2005-09-01,PAS INTERNAT,Dès la 6ème
Collège privé STAM Saint André Sainte Marie,COLLEGE GENERALE PRIVE,STAM - SAINT ANDRE SAINTE MARIE,96,Privé,11 rue Nationale,33240,Saint-André-de-Cubzac,44.989648476944005,-0.4488090597972399,OUVERT,"44.989648476944005, -0.4488090597972399",CONTRAT D'ASSOCIATION TOUTES CLASSES,1967-04-05,PAS INTERNAT,Dès la 6ème
Collège Robert Barrière,COLLEGE GENERALE ET SEGPA,ROBERT BARRIERE,91,Public,158 avenue François Mitterrand,33540,Sauveterre-de-Guyenne,44.69593100624841,-0.08559520471053007,OUVERT,"44.69593100624841, -0.08559520471053007",SANS OBJET,1969-03-03,PAS INTERNAT,Dès la 6ème
Collège Rolph et Lucette Hammel,COLLEGE GENERALE,ROLPH ET LUCETTE HAMMEL,,Privé,40 rue LALANDE,33000,Bordeaux,44.8334434532864,-0.575049571523141,OUVERT,"44.8334434532864, -0.575049571523141",HORS CONTRAT,2015-09-01,PAS INTERNAT,Dès la 6ème
Collège Rosa Bonheur,COLLEGE GENERALE,ROSA BONHEUR,86,Public,57 rue JEAN CLAUDEVILLE,33520,Bruges,44.87337189695744,-0.5873381146522612,OUVERT,"44.87337189695744, -0.5873381146522612",SANS OBJET,2012-09-01,PAS INTERNAT,Dès la 6ème
Collège Saint André,COLLEGE GENERALE,SAINT ANDRE,96,Public,59 rue CEREY,33019,Bordeaux,44.85551324102122,-0.6169555008848595,OUVERT,"44.85551324102122, -0.6169555008848595",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège Saint Fort,COLLEGE GENERALE,SAINT FORT,"96,5",Privé,135 avenue Robert Schuman,33110,Le Bouscat,44.85967551833124,-0.5967407860544302,OUVERT,"44.85967551833124, -0.5967407860544302",HORS CONTRAT,2015-09-01,PAS INTERNAT,Dès la 6ème
Collège Sébastien Vauban,COLLEGE GENERALE ET SEGPA,SEBASTIEN VAUBAN,93,Public,9 RUE DU DOCTEUR BOUTIN,33390,Blaye,45.124342157860035,-0.6582877324196346,OUVERT,"45.124342157860035, -0.6582877324196346",SANS OBJET,1976-04-08,PAS INTERNAT,Dès la 6ème
Collège Simone Veil,COLLEGE GENERALE,SIMONE VEIL,84,Public,Rue DES FUTAIES,33564,Carbon-Blanc,44.9105987358091,-0.500682464533066,OUVERT,"44.9105987358091, -0.500682464533066",SANS OBJET,2006-09-01,PAS INTERNAT,Dès la 6ème
